Predictions,Actual
37.269394,21.682730833333295
21.510725,16.2814595833333
22.96186,19.4022116666667
25.356483,15.908606666666698
23.102047,19.9575679166667
25.66642,7.939565833333329
12.205765,7.96672875
14.485466,18.9078401630795
21.643337,20.542936249999997
23.292648,16.885316666666697
21.04338,10.535552499999998
16.80789,8.38830875
18.687733,9.08182083333333
17.970837,15.514103749999999
23.77961,9.91130625
19.95617,29.592292083333298
26.31292,17.2220104166667
21.527489,14.027086666666698
18.610012,11.8443883333333
18.878735,20.2600554166667
21.456856,18.6448847464128
20.118946,18.08534375
21.82983,11.6693966666667
15.845762,6.40213625
14.994024,13.7452754166667
21.719685,8.09361958333333
19.571987,11.99504875
22.103859,14.1112975
19.573235,21.189325
26.189232,32.4852545833333
31.42884,34.14034125
28.20126,21.3396325
22.00599,10.67697
21.306442,14.60539
22.20103,20.9848054166667
23.013435,29.046340833333296
25.796535,10.716398496412799
16.220203,17.2749175
18.324955,12.530128333333298
16.97676,11.5763733333333
17.549809,9.24903583333333
14.924206,11.687290416666698
17.580269,10.0512895833333
15.261581,8.42327791666667
14.781991,6.647367083333329
13.218397,11.0738383333333
17.02029,10.4862133333333
17.21123,11.7146170833333
15.18438,14.66663125
16.723932,12.217388749999998
15.43468,15.240219329746198
14.973077,9.86390416666667
11.372588,8.89973125
14.660183,7.98902208333333
14.828036,10.0721591666667
13.868788,7.396555833333329
15.348948,13.402939999999997
20.40516,20.131196666666696
20.901903,10.5816816666667
15.364304,10.8080866666667
17.282661,9.068046666666667
15.954181,12.25037625
18.249805,12.358271576159
16.415098,12.047584166666699
18.539452,17.25234375
20.247034,12.1921875
17.181335,9.41109375
14.743446,4.494375
14.3253765,6.62203125
14.490365,6.725625
12.759087,5.37890625
13.377346,8.3353125
15.0013075,10.98890625
15.311228,20.957812499999996
20.404257,10.2159375
17.500902,22.79859375
21.540792,13.1484375
18.104073,12.861926413079498
16.902222,10.03265625
16.784973,11.08453125
17.197586,13.77796875
16.991598,22.17703125
19.776981,23.220937499999998
18.34452,26.886562500000004
21.72669,26.03390625
19.512943,23.03765625
20.010708,10.6621875
15.314988,14.909531249999999
17.900463,11.96109375
19.700682,11.33953125
16.628403,7.7775
13.911665,8.136093749999999
12.538347,9.34843548923852
14.351299,7.4746875
13.218622,12.00890625
17.568386,9.721875
16.281775,13.738125
20.075386,19.3959375
23.400154,19.35609375
23.262362,9.434999999999999
15.762045,5.54625
13.942097,6.7415625
14.689346,4.685625
14.048631,9.785625
15.486053,14.186194565397498
16.688414,10.71
16.26303,8.9409375
16.127016,9.944999999999999
15.971107,8.91703125
16.718475,7.076249999999999
15.806401,15.24421875
18.453074,18.41578125
17.408974,12.415312499999999
16.023361,10.55859375
16.39104,12.088593749999998
16.431782,14.98125
18.34995,11.3634375
17.43446,6.94875
17.513527,9.76208266307951
16.851208,7.1240625
16.10189,5.16375
14.993013,8.07234375
16.324783,10.95703125
15.335618,12.654375
16.458002,4.08
13.261761,6.54234375
15.880492,7.48265625
16.102598,7.132031249999999
15.811685,14.41546875
19.397858,12.81375
17.146622,20.376093749999995
17.621803,45.3103125
29.140831,45.70875
22.487448,37.6603125
19.615715,10.52671875
15.109474,10.67015625
16.172783,8.98875
16.956825,15.475312499999998
20.822483,15.228281250000002
17.282185,28.328906249999996
23.391148,22.43203125
19.204224,22.6153125
21.901657,12.9253125
18.085148,31.819218750000005
25.291904,24.464062499999997
24.38316,16.9734375
21.4884,32.0184375
28.576504,23.64328125
22.400043,19.7628639130795
20.053856,14.71828125
19.394417,16.4475
23.096836,16.88578125
21.994034,7.171875
18.537346,10.74984375
19.413134,15.3159375
20.115604,10.805625
16.434612,13.55484375
17.122168,14.38359375
17.308702,8.43890625
17.187473,11.953125
18.903831,9.89755141307951
17.959518,20.59921875
22.718668,20.1609375
23.056894,22.185
24.399399,37.46109375
33.37478,25.109531250000003
25.400711,28.02609375
27.564983,27.22921875
27.946404,31.32515625
30.412792,20.3840625
25.326065,26.12953125
30.215744,40.17046875
33.220764,23.29265625
27.744156,23.173125
26.598595,12.5377550546361
21.720123,10.248176413079499
20.112518,20.814375
23.796654,23.5161451630795
26.223358,18.798281249999995
24.101643,8.55046875
19.740292,20.176875
23.340672,13.9377076630795
20.656437,7.32328125
20.417843,10.54265625
19.806568,12.208124999999999
18.103554,15.451406249999998
19.18353,6.414843749999999
16.416435,20.34421875
20.44453,46.3067701630795
36.48578,33.11015625
27.817211,21.707602826159
22.358389,42.2184375
34.327435,12.75796875
20.341434,17.499375
26.321201,33.54843749999999
34.49331,19.22859375
27.36485,26.655468749999997
29.669079,19.75453125
28.351307,13.52296875
21.23397,15.228281250000002
24.73154,14.088749999999997
28.245121,36.2103639130795
36.802895,43.4619264130795
37.595562,38.86359375
30.762527,31.4925
26.878494,22.4563014130795
25.776814,16.39171875
27.118416,11.14828125
27.794643,19.539375
31.112473,48.07546875
44.503906,43.0178598915565
44.13765,34.2833820653975
31.81229,19.77046875
22.572582,7.442812499999999
20.203707,16.7184375
29.86951,42.03515625
40.51661,17.2845826630795
26.423439,13.267968749999998
26.077637,31.81125
34.19745,38.7440625
35.126736,21.475781249999997
26.809696,11.124375
27.65866,27.818906249999998
31.387863,24.82265625
27.059391,10.08046875
25.135387,27.444375
31.672802,20.296406249999997
27.419147,32.034375
33.468143,10.60640625
27.153267,13.291874999999997
26.158867,20.3047389130795
26.5047,24.96609375
29.772293,36.09046875
37.90649,19.9059375
33.525463,17.22046875
26.881615,19.411875
29.518112,20.440207663079498
31.991882,32.209687499999994
