"","date","pm2.5Kens","wsKens","air_tempKens","pm2.5Marl","wsMarl","air_tempMarl"
"1",2015-01-01,21.1291666666667,6.1375,8.25416666666667,19.1532083333333,6.1375,8.25416666666667
"2",2015-01-02,10.4375,4.14166666666667,6.0375,10.6249166666667,4.14166666666667,6.0375
"3",2015-01-03,11.875,2.61666666666667,3.7375,9.78225,2.61666666666667,3.7375
"4",2015-01-04,26.275,1.675,0.679166666666667,27.8852083333333,1.675,0.679166666666667
"5",2015-01-05,18.2458333333333,2.08333333333333,5.5625,20.5901666666667,2.08333333333333,5.5625
"6",2015-01-06,11.9333333333333,2.925,6,12.6888333333333,2.925,6
"7",2015-01-07,10.4916666666667,4.70416666666667,5.41666666666667,12.9279583333333,4.70416666666667,5.41666666666667
"8",2015-01-08,8.60416666666667,4.61666666666667,8.98333333333333,12.67175,4.61666666666667,8.98333333333333
"9",2015-01-09,8.55416666666667,7.71666666666667,11.175,11.1059583333333,7.71666666666667,11.175
"10",2015-01-10,6.64583333333333,7.13333333333333,8.53333333333333,6.74675,7.13333333333333,8.53333333333333
"11",2015-01-11,9.05416666666667,5.55,5.01666666666667,11.4152083333333,5.55,5.01666666666667
"12",2015-01-12,7.1,7.30833333333333,9.8625,10.7777916666667,7.30833333333333,9.8625
"13",2015-01-13,6.82083333333333,3.59583333333333,6.62083333333333,12.4029166666667,3.59583333333333,6.62083333333333
"14",2015-01-14,6.61666666666667,5.29583333333333,4.74583333333333,11.168306234606,5.29583333333333,4.74583333333333
"15",2015-01-15,8.9375,6.9375,7.65416666666667,13.760181234606,6.9375,7.65416666666667
"16",2015-01-16,13.0875,2.825,2.50833333333333,15.1490833333333,2.825,2.50833333333333
"17",2015-01-17,15.2083333333333,2.55416666666667,0.5875,17.9887916666667,2.55416666666667,0.5875
"18",2015-01-18,20.4541666666667,2.18333333333333,1.675,14.747875,2.18333333333333,1.675
"19",2015-01-19,24.525,1.97083333333333,-1.17916666666667,17.0368333333333,1.97083333333333,-1.17916666666667
"20",2015-01-20,31.4958333333333,2.24583333333333,-1.54166666666667,30.0560416666667,2.24583333333333,-1.54166666666667
