"","date","coKens","no2Kens","o3Kens","so2Kens","pm2.5Kens","wsKens","air_tempKens","coMary","no2Mary","o3Mary","so2Mary","pm2.5Mary","wsMary","air_tempMary"
"435",2016-03-10,0.335665458333333,50.3404995833333,16.6800341666667,1.38337291666667,25.2708333333333,2.19166666666667,5.625,0.346260708333333,77.1711141666667,10.2203416666667,6.03912458333333,28.594,2.19166666666667,5.625
"436",2016-03-11,0.4159105,70.75034125,13.6601525,2.59860875,54.5625,1.92083333333333,3.90833333333333,0.542808291666667,96.8165675,5.94898791666667,7.12218666666667,58.756625,1.92083333333333,3.90833333333333
"437",2016-03-12,0.414956458333333,67.9022058333333,15.2040475,3.73163541666667,69.8291666666667,1.41666666666667,2.7125,0.579905041666667,95.7526475,4.77582208333333,6.82969041666667,74.0653333333333,1.41666666666667,2.7125
"438",2016-03-13,0.22590325,39.80727375,38.5786845833333,2.34203805799716,37.7875,2.89166666666667,3.95,0.408181416666667,59.5715066666667,21.02691875,2.83589208333333,38.3339583333333,2.89166666666667,3.95
"439",2016-03-14,0.141603916666667,31.3349325,54.2622525,1.72373847466383,20.5083333333333,4.21666666666667,4.17083333333333,0.361779291666667,59.82683875,31.3414991666667,2.51207458333333,23.5382916666667,4.21666666666667,4.17083333333333
"440",2016-03-15,0.165898541666667,37.0440029166667,39.1351241666667,1.79596916666667,19.0875,3.5,4.10416666666667,0.364916083333333,52.6966404166667,25.08622625,1.92930125,19.7730833333333,3.5,4.10416666666667
"441",2016-03-16,0.135621208333333,26.5258775,45.4021758333333,1.401555,15.4791666666667,4.05833333333333,5.57083333333333,0.340237458333333,49.5260070833333,27.2094291666667,1.80988333333333,17.6050833333333,4.05833333333333,5.57083333333333
"442",2016-03-17,0.196531416666667,43.18101,36.6793045833333,2.2071525,27.7333333333333,2.82916666666667,3.15,0.474779458333333,75.7101504166667,17.2212304166667,4.31487166666667,29.8743895679393,2.82916666666667,3.15
"443",2016-03-18,0.135447375,34.20775875,43.4813158333333,1.6941525,10.8083333333333,2.8625,2.51666666666667,0.380184125,53.8438091666667,28.6563133333333,2.25131583333333,12.7181666666667,2.8625,2.51666666666667
"444",2016-03-19,0.119027291666667,21.4976091666667,66.5046245833333,1.48662166666667,5.1,3.75416666666667,4.63333333333333,0.316828166666667,35.74341625,50.5043779166667,0.82932375,5.406375,3.75416666666667,4.63333333333333
"445",2016-03-20,0.129881,21.7781091666667,65.9391758333333,1.78667541666667,6.28333333333333,2.475,3.94166666666667,0.337690666666667,41.0898166666667,47.4041133333333,1.15582875,6.97295833333333,2.475,3.94166666666667
"446",2016-03-21,0.232452,44.58278,39.7511583333333,1.53848166666667,16.05,2.40833333333333,5.05833333333333,0.365655708333333,79.0403379166667,22.3012545833333,4.69554708333333,18.2735,2.40833333333333,5.05833333333333
"447",2016-03-22,0.291312708333333,61.7476591666667,24.6434325,2.20247625,21.125,2.275,5.7875,0.432465593993639,89.19062,13.6303545833333,5.35424791666667,22.3365416666667,2.275,5.7875
"448",2016-03-23,0.219992609248052,52.4851493297462,22.1810991291002,1.32228042399149,27.1583333333333,1.89166666666667,6.25,0.458913083333333,92.4253279166667,9.22595583333333,6.61943291666667,30.3634583333333,1.89166666666667,6.25
