"","date","so2Kens","wsKens","air_tempKens","so2Marl","wsMarl","air_tempMarl"
"1",2015-01-01,1.49341208333333,6.1375,8.25416666666667,6.99056291666667,6.1375,8.25416666666667
"2",2015-01-02,1.30664083333333,4.14166666666667,6.0375,7.31339291666667,4.14166666666667,6.0375
"3",2015-01-03,1.76245916666667,2.61666666666667,3.7375,5.87633916666667,2.61666666666667,3.7375
"4",2015-01-04,1.27901541666667,1.675,0.679166666666667,9.70630833333333,1.675,0.679166666666667
"5",2015-01-05,1.4668025,2.08333333333333,5.5625,12.2828079166667,2.08333333333333,5.5625
"6",2015-01-06,1.52646083333333,2.925,6,9.99896125,2.925,6
"7",2015-01-07,1.08169416666667,4.70416666666667,5.41666666666667,9.887175,4.70416666666667,5.41666666666667
"8",2015-01-08,1.13854125,4.61666666666667,8.98333333333333,10.9823383333333,4.61666666666667,8.98333333333333
"9",2015-01-09,1.46973166666667,7.71666666666667,11.175,10.2537416666667,7.71666666666667,11.175
"10",2015-01-10,1.3756125,7.13333333333333,8.53333333333333,5.83866208333333,7.13333333333333,8.53333333333333
"11",2015-01-11,1.1364838913305,5.55,5.01666666666667,8.01160125,5.55,5.01666666666667
"12",2015-01-12,1.0809175,7.30833333333333,9.8625,9.78218,7.30833333333333,9.8625
"13",2015-01-13,1.00421291666667,3.59583333333333,6.62083333333333,12.78742625,3.59583333333333,6.62083333333333
"14",2015-01-14,1.10627,5.29583333333333,4.74583333333333,11.1327465933164,5.29583333333333,4.74583333333333
"15",2015-01-15,1.0743575,6.9375,7.65416666666667,11.76224125,6.9375,7.65416666666667
"16",2015-01-16,0.941165,2.825,2.50833333333333,12.2548670833333,2.825,2.50833333333333
"17",2015-01-17,1.83262125,2.55416666666667,0.5875,12.013715,2.55416666666667,0.5875
"18",2015-01-18,1.26852958333333,2.18333333333333,1.675,6.2916525,2.18333333333333,1.675
"19",2015-01-19,3.25608333333333,1.97083333333333,-1.17916666666667,7.45296083333333,1.97083333333333,-1.17916666666667
"20",2015-01-20,5.8250525,2.24583333333333,-1.54166666666667,14.6709841666667,2.24583333333333,-1.54166666666667
"21",2015-01-21,2.02428875,3.36666666666667,3.00833333333333,9.43911159331638,3.36666666666667,3.00833333333333
"22",2015-01-22,2.00205958333333,2.325,-0.875,6.07063125,2.325,-0.875
"23",2015-01-23,4.67923041666667,2.69583333333333,0.0875,18.4054079166667,2.69583333333333,0.0875
"24",2015-01-24,1.20965625,3.82083333333333,3.875,4.87498208333333,3.82083333333333,3.875
"25",2015-01-25,1.30336125,2.92083333333333,2.88333333333333,11.7323891666667,2.92083333333333,2.88333333333333
"26",2015-01-26,1.65266875,3.65,6.29166666666667,7.475199486548,3.65,6.29166666666667
"27",2015-01-27,2.96550515598015,2.625,2.51666666666667,10.4476454166667,2.625,2.51666666666667
"28",2015-01-28,2.21616208333333,6.20833333333333,5.69166666666667,10.6073729166667,6.20833333333333,5.69166666666667
"29",2015-01-29,2.01712916666667,5.21666666666667,2.61666666666667,14.1285304166667,5.21666666666667,2.61666666666667
"30",2015-01-30,2.50974583333333,3.67083333333333,2.42083333333333,11.5331445833333,3.67083333333333,2.42083333333333
"31",2015-01-31,1.265535,5.27083333333333,1.15416666666667,8.0033225,5.27083333333333,1.15416666666667
"32",2015-02-01,1.00698458333333,6.12916666666667,1.06666666666667,3.24864708333333,6.12916666666667,1.06666666666667
"33",2015-02-02,2.62871916666667,2.44583333333333,-2.825,7.76840541666667,2.44583333333333,-2.825
"34",2015-02-03,1.57817333333333,3.5,1.0375,5.36809,3.5,1.0375
"35",2015-02-04,1.79941625,4.1625,0.779166666666667,5.04460458333333,4.1625,0.779166666666667
"36",2015-02-05,2.93107458333333,4.075,0.508333333333333,3.04301666666667,4.075,0.508333333333333
"37",2015-02-06,2.15217916666667,3.86666666666667,0.2375,1.59160625,3.86666666666667,0.2375
"38",2015-02-07,1.78045666666667,3.74166666666667,1.2375,2.15603041666667,3.74166666666667,1.2375
"39",2015-02-08,1.92141083333333,2.525,1.73333333333333,4.79272458333333,2.525,1.73333333333333
"40",2015-02-09,1.98153,2.02083333333333,0.941666666666667,7.30037458333333,2.02083333333333,0.941666666666667
"41",2015-02-10,2.15657833333333,1.64583333333333,0.475,11.51782625,1.64583333333333,0.475
"42",2015-02-11,3.06204305799716,1.42083333333333,-0.0958333333333333,10.0280908333333,1.42083333333333,-0.0958333333333333
"43",2015-02-12,2.11787375,3.40427191927292,10.1635658914729,11.5802004166667,3.40451263537906,10.1647095199893
"44",2015-02-13,1.09954458333333,4.275,6.3625,11.4721104166667,4.275,6.3625
"45",2015-02-14,1.13797916666667,2.70833333333333,6.02916666666667,6.8240625,2.70833333333333,6.02916666666667
"46",2015-02-15,3.6823725,2.32083333333333,4.19583333333333,7.65063375,2.32083333333333,4.19583333333333
"47",2015-02-16,1.6327675,2.70416666666667,4.03333333333333,12.5611666666667,2.70416666666667,4.03333333333333
"48",2015-02-17,1.80230833333333,3.19166666666667,3.23333333333333,5.22869625,3.19166666666667,3.23333333333333
"49",2015-02-18,1.61823416666667,3.10833333333333,3.07916666666667,13.5556595833333,3.10833333333333,3.07916666666667
"50",2015-02-19,1.24269583333333,4.40416666666667,5.39583333333333,11.52437625,4.40416666666667,5.39583333333333
"51",2015-02-20,2.15839625,2.12916666666667,2.74583333333333,8.62017041666667,2.12916666666667,2.74583333333333
"52",2015-02-21,2.00251291666667,2.7625,1.90416666666667,7.88321291666667,2.7625,1.90416666666667
