"","date","coKens","wsKens","air_tempKens","coMarl","wsMarl","air_tempMarl"
"1",2015-01-01,0.277936458333333,6.1375,8.25416666666667,0.35346,6.1375,8.25416666666667
"2",2015-01-02,0.269055541666667,4.14166666666667,6.0375,0.427540208333333,4.14166666666667,6.0375
"3",2015-01-03,0.324266125,2.61666666666667,3.7375,0.379686791666667,2.61666666666667,3.7375
"4",2015-01-04,0.407986692581385,1.675,0.679166666666667,0.685091291666667,1.675,0.679166666666667
"5",2015-01-05,0.355258833333333,2.08333333333333,5.5625,0.595771375,2.08333333333333,5.5625
"6",2015-01-06,0.328745041666667,2.925,6,0.559204125,2.925,6
"7",2015-01-07,0.3085415,4.70416666666667,5.41666666666667,0.577827208333333,4.70416666666667,5.41666666666667
"8",2015-01-08,0.295666375,4.61666666666667,8.98333333333333,0.640144291666667,4.61666666666667,8.98333333333333
"9",2015-01-09,0.252623458333333,7.71666666666667,11.175,0.500290708333333,7.71666666666667,11.175
"10",2015-01-10,0.230806833333333,7.13333333333333,8.53333333333333,0.34418275,7.13333333333333,8.53333333333333
"11",2015-01-11,0.24033475,5.55,5.01666666666667,0.510125791666667,5.55,5.01666666666667
"12",2015-01-12,0.261569125,7.30833333333333,9.8625,0.560113625,7.30833333333333,9.8625
"13",2015-01-13,0.289518041666667,3.59583333333333,6.62083333333333,0.742929375,3.59583333333333,6.62083333333333
"14",2015-01-14,0.239844650914719,5.29583333333333,4.74583333333333,0.505224135660305,5.29583333333333,4.74583333333333
"15",2015-01-15,0.247586583333333,6.9375,7.65416666666667,0.610441,6.9375,7.65416666666667
"16",2015-01-16,0.335099541666667,2.825,2.50833333333333,0.673332083333333,2.825,2.50833333333333
"17",2015-01-17,0.360671625,2.55416666666667,0.5875,0.77196975,2.55416666666667,0.5875
"18",2015-01-18,0.436995458333333,2.18333333333333,1.675,0.499846,2.18333333333333,1.675
"19",2015-01-19,0.528296125,1.97083333333333,-1.17916666666667,0.598669666666667,1.97083333333333,-1.17916666666667
"20",2015-01-20,0.697537833333333,2.24583333333333,-1.54166666666667,1.01478225,2.24583333333333,-1.54166666666667
"21",2015-01-21,0.399276125,3.36666666666667,3.00833333333333,0.76528775,3.36666666666667,3.00833333333333
"22",2015-01-22,0.476412416666667,2.325,-0.875,0.7212745,2.325,-0.875
"23",2015-01-23,0.634076583333333,2.69583333333333,0.0875,1.00694804166667,2.69583333333333,0.0875
"24",2015-01-24,0.334097041666667,3.82083333333333,3.875,0.389336,3.82083333333333,3.875
"25",2015-01-25,0.40766,2.92083333333333,2.88333333333333,0.596967833333333,2.92083333333333,2.88333333333333
"26",2015-01-26,0.298548666666667,3.65,6.29166666666667,0.37579076163486,3.65,6.29166666666667
"27",2015-01-27,0.313633697154979,2.625,2.51666666666667,0.54953875,2.625,2.51666666666667
"28",2015-01-28,0.271609359248052,6.20833333333333,5.69166666666667,0.571045927326972,6.20833333333333,5.69166666666667
"29",2015-01-29,0.248520333333333,5.21666666666667,2.61666666666667,0.59508425,5.21666666666667,2.61666666666667
"30",2015-01-30,0.329792083333333,3.67083333333333,2.42083333333333,0.563505166666667,3.67083333333333,2.42083333333333
"31",2015-01-31,0.293633083333333,5.27083333333333,1.15416666666667,0.321509,5.27083333333333,1.15416666666667
"32",2015-02-01,0.233321125,6.12916666666667,1.06666666666667,0.215570833333333,6.12916666666667,1.06666666666667
"33",2015-02-02,0.366537083333333,2.44583333333333,-2.825,0.425854791666667,2.44583333333333,-2.825
"34",2015-02-03,0.320627916666667,3.5,1.0375,0.329488916666667,3.5,1.0375
"35",2015-02-04,0.306305833333333,4.1625,0.779166666666667,0.32738275,4.1625,0.779166666666667
"36",2015-02-05,0.3250705,4.075,0.508333333333333,0.303544833333333,4.075,0.508333333333333
"37",2015-02-06,0.325365666666667,3.86666666666667,0.2375,0.324347,3.86666666666667,0.2375
"38",2015-02-07,0.332876333333333,3.74166666666667,1.2375,0.330560125,3.74166666666667,1.2375
"39",2015-02-08,0.431898041666667,2.525,1.73333333333333,0.445161041666667,2.525,1.73333333333333
"40",2015-02-09,0.299660166666667,2.02083333333333,0.941666666666667,0.521589916666667,2.02083333333333,0.941666666666667
"41",2015-02-10,0.316043916666667,1.64583333333333,0.475,0.6291005,1.64583333333333,0.475
"42",2015-02-11,0.198686524899135,1.42083333333333,-0.0958333333333333,0.588466666666667,1.42083333333333,-0.0958333333333333
"43",2015-02-12,0.287669567581385,3.40427191927292,10.1635658914729,0.723683791666667,3.40451263537906,10.1647095199893
"44",2015-02-13,0.291005625,4.275,6.3625,0.7986575,4.275,6.3625
"45",2015-02-14,0.292242458333333,2.70833333333333,6.02916666666667,0.421735583333333,2.70833333333333,6.02916666666667
"46",2015-02-15,0.523885916666667,2.32083333333333,4.19583333333333,0.6360415,2.32083333333333,4.19583333333333
"47",2015-02-16,0.355384166666667,2.70416666666667,4.03333333333333,0.687957375,2.70416666666667,4.03333333333333
"48",2015-02-17,0.3262145,3.19166666666667,3.23333333333333,0.45257075,3.19166666666667,3.23333333333333
"49",2015-02-18,0.27294425,3.10833333333333,3.07916666666667,0.602311958333333,3.10833333333333,3.07916666666667
"50",2015-02-19,0.196123333333333,4.40416666666667,5.39583333333333,0.572252791666667,4.40416666666667,5.39583333333333
"51",2015-02-20,0.289683666666667,2.12916666666667,2.74583333333333,0.522430708333333,2.12916666666667,2.74583333333333
"52",2015-02-21,0.2762105,2.7625,1.90416666666667,0.497517625,2.7625,1.90416666666667
"53",2015-02-22,0.251976583333333,4.69166666666667,3.05,0.508767541666667,4.69166666666667,3.05
