"","date","no2Kens","wsKens","air_tempKens","no2Marl","wsMarl","air_tempMarl"
"1",2015-01-01,16.2580425,6.1375,8.25416666666667,59.3981525,6.1375,8.25416666666667
"2",2015-01-02,31.984305,4.14166666666667,6.0375,71.34145,4.14166666666667,6.0375
"3",2015-01-03,48.6462975,2.61666666666667,3.7375,68.8809525,2.61666666666667,3.7375
"4",2015-01-04,49.57983875,1.675,0.679166666666667,82.78064375,1.675,0.679166666666667
"5",2015-01-05,46.9238529166667,2.08333333333333,5.5625,95.0727858333333,2.08333333333333,5.5625
"6",2015-01-06,42.19333625,2.925,6,86.1323395833333,2.925,6
"7",2015-01-07,39.2568520833333,4.70416666666667,5.41666666666667,93.6005056750923,4.70416666666667,5.41666666666667
"8",2015-01-08,40.6264804166667,4.61666666666667,8.98333333333333,95.14912625,4.61666666666667,8.98333333333333
"9",2015-01-09,19.8475679166667,7.71666666666667,11.175,88.7150783333333,7.71666666666667,11.175
"10",2015-01-10,15.70580875,7.13333333333333,8.53333333333333,62.69500375,7.13333333333333,8.53333333333333
"11",2015-01-11,20.4867275,5.55,5.01666666666667,89.82400375,5.55,5.01666666666667
"12",2015-01-12,21.91041125,7.30833333333333,9.8625,92.7044208333333,7.30833333333333,9.8625
"13",2015-01-13,31.4276879166667,3.59583333333333,6.62083333333333,110.7352575,3.59583333333333,6.62083333333333
"14",2015-01-14,23.9113293297462,5.29583333333333,4.74583333333333,101.231879008426,5.29583333333333,4.74583333333333
"15",2015-01-15,22.1065620833333,6.9375,7.65416666666667,105.701969166667,6.9375,7.65416666666667
"16",2015-01-16,48.1090175,2.825,2.50833333333333,108.7429775,2.825,2.50833333333333
"17",2015-01-17,54.67235875,2.55416666666667,0.5875,109.001019583333,2.55416666666667,0.5875
"18",2015-01-18,52.60323375,2.18333333333333,1.675,69.0212345833333,2.18333333333333,1.675
"19",2015-01-19,60.89408,1.97083333333333,-1.17916666666667,74.1014658333333,1.97083333333333,-1.17916666666667
"20",2015-01-20,74.5432470833333,2.24583333333333,-1.54166666666667,107.136750416667,2.24583333333333,-1.54166666666667
"21",2015-01-21,46.2247995833333,3.36666666666667,3.00833333333333,78.8613127584256,3.36666666666667,3.00833333333333
"22",2015-01-22,57.7834320833333,2.325,-0.875,56.6676075,2.325,-0.875
"23",2015-01-23,64.0717579166667,2.69583333333333,0.0875,107.361109166667,2.69583333333333,0.0875
"24",2015-01-24,38.7092795833333,3.82083333333333,3.875,55.6658966666667,3.82083333333333,3.875
"25",2015-01-25,53.8756829166667,2.92083333333333,2.88333333333333,94.0057295833333,2.92083333333333,2.88333333333333
"26",2015-01-26,40.5316075,3.65,6.29166666666667,71.9740951423127,3.65,6.29166666666667
"27",2015-01-27,47.0476307248899,2.625,2.51666666666667,80.9288991666667,2.625,2.51666666666667
"28",2015-01-28,25.059315,6.20833333333333,5.69166666666667,85.675264841759,6.20833333333333,5.69166666666667
"29",2015-01-29,32.8924445833333,5.21666666666667,2.61666666666667,92.3095358333333,5.21666666666667,2.61666666666667
"30",2015-01-30,47.6307,3.67083333333333,2.42083333333333,76.38060875,3.67083333333333,2.42083333333333
"31",2015-01-31,35.4727183333333,5.27083333333333,1.15416666666667,51.52892625,5.27083333333333,1.15416666666667
"32",2015-02-01,19.8796929166667,6.12916666666667,1.06666666666667,30.9869633333333,6.12916666666667,1.06666666666667
"33",2015-02-02,63.58778375,2.44583333333333,-2.825,71.3426779166667,2.44583333333333,-2.825
"34",2015-02-03,46.09972375,3.5,1.0375,55.10625125,3.5,1.0375
"35",2015-02-04,40.1499366666667,4.1625,0.779166666666667,57.6645504166667,4.1625,0.779166666666667
"36",2015-02-05,34.83725125,4.075,0.508333333333333,44.70239625,4.075,0.508333333333333
"37",2015-02-06,27.52067,3.86666666666667,0.2375,36.60914875,3.86666666666667,0.2375
"38",2015-02-07,35.0598904166667,3.74166666666667,1.2375,43.2373425,3.74166666666667,1.2375
"39",2015-02-08,44.4411816666667,2.525,1.73333333333333,50.7936633333333,2.525,1.73333333333333
"40",2015-02-09,52.83576125,2.02083333333333,0.941666666666667,60.5276695833333,2.02083333333333,0.941666666666667
"41",2015-02-10,57.4915366666667,1.64583333333333,0.475,90.9352854166667,1.64583333333333,0.475
"42",2015-02-11,42.6802859964128,1.42083333333333,-0.0958333333333333,69.5638065084256,1.42083333333333,-0.0958333333333333
"43",2015-02-12,60.1528670833333,3.40427191927292,10.1635658914729,79.64869875,3.40451263537906,10.1647095199893
"44",2015-02-13,45.0593841666667,4.275,6.3625,97.12655875,4.275,6.3625
"45",2015-02-14,52.6495925,2.70833333333333,6.02916666666667,70.3863095833333,2.70833333333333,6.02916666666667
"46",2015-02-15,60.04845,2.32083333333333,4.19583333333333,69.06408125,2.32083333333333,4.19583333333333
"47",2015-02-16,54.390245,2.70416666666667,4.03333333333333,85.42010625,2.70416666666667,4.03333333333333
"48",2015-02-17,47.8990804166667,3.19166666666667,3.23333333333333,64.69563875,3.19166666666667,3.23333333333333
"49",2015-02-18,46.7186041666667,3.10833333333333,3.07916666666667,112.413164166667,3.10833333333333,3.07916666666667
"50",2015-02-19,30.7821329166667,4.40416666666667,5.39583333333333,97.6786341666667,4.40416666666667,5.39583333333333
"51",2015-02-20,51.53247125,2.12916666666667,2.74583333333333,83.18859,2.12916666666667,2.74583333333333
"52",2015-02-21,44.5283795833333,2.7625,1.90416666666667,70.3465779166667,2.7625,1.90416666666667
"53",2015-02-22,34.53305,4.69166666666667,3.05,87.4791525,4.69166666666667,3.05
