"","date","no2","o3","pm2.5"
"1",2015-01-01,16.2580425,48.4689008333333,21.1291666666667
"2",2015-01-02,31.984305,41.9518741666667,10.4375
"3",2015-01-03,48.6462975,25.44794,11.875
"4",2015-01-04,49.57983875,7.32071375,26.275
"5",2015-01-05,46.9238529166667,17.5054491666667,18.2458333333333
"6",2015-01-06,42.19333625,28.0735479166667,11.9333333333333
"7",2015-01-07,39.2568520833333,32.0853466666667,10.4916666666667
"8",2015-01-08,40.6264804166667,37.7071654166667,8.60416666666667
"9",2015-01-09,19.8475679166667,54.2026016666667,8.55416666666667
"10",2015-01-10,15.70580875,58.6619245833333,6.64583333333333
"11",2015-01-11,20.4867275,55.9821570833333,9.05416666666667
"12",2015-01-12,21.91041125,59.5664275,7.1
"13",2015-01-13,31.4276879166667,47.2921591666667,6.82083333333333
"14",2015-01-14,23.8811500895731,52.3583720932899,6.61666666666667
"15",2015-01-15,22.1065620833333,61.2332529166667,8.9375
"16",2015-01-16,48.1090175,28.43296,13.0875
"17",2015-01-17,54.67235875,19.0133333333333,15.2083333333333
"18",2015-01-18,52.60323375,18.1910904166667,20.4541666666667
"19",2015-01-19,60.89408,11.9881566666667,24.525
"20",2015-01-20,74.5432470833333,11.9292558333333,31.4958333333333
"21",2015-01-21,46.2247995833333,17.79172875,25.4875
"22",2015-01-22,57.7834320833333,5.2331425,39.9625
"23",2015-01-23,64.0717579166667,9.37701958333333,43.9166666666667
"24",2015-01-24,38.7092795833333,36.6281008333333,13.0791666666667
"25",2015-01-25,53.8756829166667,17.4849375,17.175
"26",2015-01-26,40.5316075,32.7498458333333,10.1166666666667
"27",2015-01-27,48.6656661358646,20.5259284474143,14.1727881382512
"28",2015-01-28,25.059315,46.6513454166667,8.16067959105542
"29",2015-01-29,32.8924445833333,41.845645,10.5955860126876
"30",2015-01-30,47.6307,25.8959191666667,13.585870739431
"31",2015-01-31,35.4727183333333,31.6749466666667,10.1583333333333
"32",2015-02-01,19.8796929166667,53.2330725,9.62916666666667
"33",2015-02-02,63.58778375,14.1773995833333,15.5958333333333
"34",2015-02-03,46.09972375,25.58458375,16.3583333333333
"35",2015-02-04,40.1499366666667,29.47331625,16.5811261798769
"36",2015-02-05,34.83725125,29.80704125,10.359861098281
"37",2015-02-06,27.52067,31.42854125,10.6291666666667
"38",2015-02-07,35.0598904166667,31.1523229166667,14.3185198580991
"39",2015-02-08,44.4411816666667,28.7232795833333,18.6589299682071
"40",2015-02-09,52.83576125,18.4722195833333,17.5123530864156
"41",2015-02-10,57.4915366666667,20.8991225,16.5377631619442
"42",2015-02-11,43.5114819020263,26.9552382955388,27.4833333333333
"43",2015-02-12,60.1528670833333,5.89807841553063,36.6840089599932
"44",2015-02-13,45.0593841666667,34.6004908333333,26.8583333333333
"45",2015-02-14,52.6495925,28.54896625,13
"46",2015-02-15,60.04845,16.1922445833333,34.1708333333333
"47",2015-02-16,54.390245,17.2701020833333,23.0333333333333
"48",2015-02-17,47.8990804166667,31.00537625,13.8708333333333
"49",2015-02-18,46.7186041666667,31.7679066666667,13.559600326788
"50",2015-02-19,30.7821329166667,49.47281375,10.9375
"51",2015-02-20,51.53247125,26.0228545833333,11.2625
"52",2015-02-21,44.5283795833333,29.8252858333333,11.2666666666667
"53",2015-02-22,34.53305,40.8897666666667,9.79166666666667
"54",2015-02-23,29.4039080846466,52.6082696149635,9.11666666666667
"55",2015-02-24,36.1483406035926,41.3086983214225,9.10851948724283
"56",2015-02-25,48.8555287337778,24.2318683129525,7.84166666666667
"57",2015-02-26,36.9966491666667,30.5098675,6.11666666666667
"58",2015-02-27,50.0522695833333,27.6924658333333,8.325
"59",2015-02-28,18.6718845833333,55.32115875,3.7
"60",2015-03-01,14.4858845833333,65.3575391666667,5.42916666666667
"61",2015-03-02,23.552,53.7442370833333,3.225
"62",2015-03-03,27.4157408333333,51.52989625,3.83333333333333
"63",2015-03-04,41.3973908333333,37.4737316666667,7.1875
"64",2015-03-05,47.0853116666667,33.5965494744538,10.2541666666667
"65",2015-03-06,32.18622625,54.8825133333333,9.55833333333333
"66",2015-03-07,27.2971266666667,54.8709054166667,17.4916666666667
"67",2015-03-08,29.29744875,49.3041575,9.87916666666667
"68",2015-03-09,37.30120125,34.3902354166667,9.73333333333333
"69",2015-03-10,50.5822391666667,28.4144720833333,11.4041666666667
"70",2015-03-11,43.6385970602279,31.132737798441,29.5625
"71",2015-03-12,51.7687991666667,26.6171641666667,25.3416666666667
"72",2015-03-13,46.4012945833333,31.5188041666667,22.0833333333333
"73",2015-03-14,22.25432125,53.0960220833333,16.3375
"74",2015-03-15,24.2142891666667,37.42997125,22.575
"75",2015-03-16,42.4752508333333,12.9694241666667,33.525
"76",2015-03-17,50.08776375,10.768645,63.4958333333333
"77",2015-03-18,31.1079420833333,40.0515095833333,49.5333333333333
"78",2015-03-19,28.33250625,60.7832225,30.6958333333333
"79",2015-03-20,50.311315,47.6403954166667,32.8
"80",2015-03-21,26.2251033333333,49.0607029166667,8.92916666666667
"81",2015-03-22,24.9424470833333,51.7939870833333,8.1
"82",2015-03-23,39.25600875,36.6135283333333,15.975
"83",2015-03-24,45.64239625,32.0233704166667,10.9083333333333
"84",2015-03-25,57.5393699041534,18.1847882670883,21.9125
"85",2015-03-26,29.21252125,48.40497625,5.34583333333333
"86",2015-03-27,38.2230929166667,40.838425,5.67916666666667
"87",2015-03-28,21.4350208333333,48.5897441666667,6.5125
"88",2015-03-29,13.8965179166667,65.5175154166667,2.99583333333333
